oracle Database name       :  FSPRD
Oracle SID                 :  FSPRD3
Archive Execution-From Date:  01-May-2023
Archive Execution-To Date  :  01-Mar-2024
Archive Year               :  1995_2000
Archive Environment        :  FS
 
=> Batch Numbers check.

107 rows created.


Commit complete.

=> NLS DataBase Parameters Check.

3 rows created.


Commit complete.

=> TimeZone Check.

338 52 5 EX_SY_XX EOAW_WL_HXX
339 53 0 EX_UI_XX EOAW_UESCAL_HXX
340 53 1 EX_UI_XX EOAW_URINST_HXX
341 54 0 FG_AK_XX PMT_ACK_ERR_HXX
342 54 1 FG_AK_XX PMT_ACK_HDR_HXX
343 54 2 FG_AK_XX PMT_ACK_H_XX
344 54 3 FG_AK_XX PMT_FIL_ACK_HXX
345 54 4 FG_AK_XX PMT_FIL_ERR_HXX
346 55 0 FG_BF_XX BSP_FIL_INF_HXX
347 56 0 FG_DL_XX PMT_ADDR_H_XX
348 56 1 FG_DL_XX PMT_DTL_H_XX
349 56 2 FG_DL_XX PMT_INTRM_H_XX
350 56 3 FG_DL_XX PMT_OID_STG_HXX
351 56 4 FG_DL_XX PMT_OTHID_H_XX
352 56 5 FG_DL_XX PMT_REF_H_XX
353 56 6 FG_DL_XX PMT_REQ_LOG_HXX
354 56 7 FG_DL_XX PMT_UPARTY_H_XX
355 56 8 FG_DL_XX PMT_UPY_STG_HXX
356 57 0 FG_ET_XX TR_EVNT_LOG_HXX
357 58 0 FG_FE_XX PMT_FIL_DEF_HXX
358 58 1 FG_FE_XX PMT_FIL_REF_HXX
359 59 0 FG_SF_XX SNW_FILE_H_XX
360 60 0 GL_JRLXX GL_OITEM_H
361 60 1 GL_JRLXX JRNL_CF_BAL_H
362 60 2 GL_JRLXX JRNL_HDR_H
363 60 3 GL_JRLXX JRNL_IUAC_H
364 60 4 GL_JRLXX JRNL_LN_H
365 60 5 GL_JRLXX JRNL_VAT_H
366 61 0 GL_LEDXX LEDGER_H
367 62 0 PC_01_XX INTF_PROJ_RES_H
368 62 1 PC_01_XX PC_ACT_IN_USE_H
369 62 2 PC_01_XX PC_ACT_SUM_H
370 62 3 PC_01_XX PC_AMRULE_ACT_H
371 62 4 PC_01_XX PC_AMRULE_PRJ_H
372 62 5 PC_01_XX PC_BITOPC_SUM_H
373 62 6 PC_01_XX PC_BUD_ACT_H
374 62 7 PC_01_XX PC_BUD_ALERT_H
375 62 8 PC_01_XX PC_BUD_DETAIL_H
376 62 9 PC_01_XX PC_BUD_DETLXX_H
377 62 10 PC_01_XX PC_BUD_DTL_XX_H
378 62 11 PC_01_XX PC_BUD_ITEMXX_H
379 62 12 PC_01_XX PC_BUD_ITEM_H
380 62 13 PC_01_XX PC_BUD_ITM_XX_H
381 62 14 PC_01_XX PC_BUD_PLAN_H
382 62 15 PC_01_XX PC_BUD_PLN_XX_H
383 62 16 PC_01_XX PC_BUD_SUMRY_H
384 62 17 PC_01_XX PC_BUD_SUM_XX_H
385 62 18 PC_01_XX PC_CHCINFO_XX_H
386 62 19 PC_01_XX PC_CHC_INFO_H
387 62 20 PC_01_XX PC_CMPRREPXX_H
388 62 21 PC_01_XX PC_CMPRSTG_XX_H
389 62 22 PC_01_XX PC_COM_HD_XX_H
390 62 23 PC_01_XX PC_COM_LN_XX_H
391 62 24 PC_01_XX PC_DELUTIL_RC_H
392 62 25 PC_01_XX PC_EMPPROJ_TM_H
393 62 26 PC_01_XX PC_EMP_RES_TM_H
394 62 27 PC_01_XX PC_OPIDPRJACT_H
395 62 28 PC_01_XX PC_OPIDPRJREM_H
396 62 29 PC_01_XX PC_PICSTS_TBL_H
397 62 30 PC_01_XX PC_POREF_XX_H
398 62 31 PC_01_XX PC_PRICE_RATE_H
399 62 32 PC_01_XX PC_PRJ_ACT_XX_H
400 62 33 PC_01_XX PC_PRJ_BRDNXX_H
401 62 34 PC_01_XX PC_PROJECT_XX_H
402 62 35 PC_01_XX PC_PROJHEALTH_H
403 62 36 PC_01_XX PC_RPO_H
404 62 37 PC_01_XX PC_VP_REVIEW_H
405 62 38 PC_01_XX PM_ACT_STG_XX_H
406 62 39 PC_01_XX PM_RES_STG_XX_H
407 62 40 PC_01_XX PM_SPRASGN_XX_H
408 62 41 PC_01_XX PM_SPRBRDN_XX_H
409 62 42 PC_01_XX PM_SPRCMSN_XX_H
410 62 43 PC_01_XX PM_SPRCUST_XX_H
411 62 44 PC_01_XX PM_SPRXREF_XX_H
412 62 45 PC_01_XX PM_SPR_STG_XX_H
413 62 46 PC_01_XX PRJSPRDEXT_XX_H
414 62 47 PC_01_XX PRJ_RESTMP_XX_H
415 62 48 PC_01_XX PRJ_TMACTDTXX_H
