oracle Database name       :  HRPRD
302 84 80 PSPER_XX PERSSMOKER_H_XX
303 84 81 PSPER_XX PERS_NID_H_XX
304 84 82 PSPER_XX PERX0019TM_H_XX
305 84 83 PSPER_XX PERX0019WR_H_XX
306 84 84 PSPER_XX PERX0020TM_H_XX
307 84 85 PSPER_XX PERX0020WR_H_XX
308 84 86 PSPER_XX PERX0033TM_H_XX
309 84 87 PSPER_XX PERX0033WR_H_XX
310 84 88 PSPER_XX PERX33300T_H_XX
311 84 89 PSPER_XX PERX33300W_H_XX
312 84 90 PSPER_XX PERX33700T_H_XX
313 84 91 PSPER_XX PERX33700W_H_XX
314 84 92 PSPER_XX PER_DT_EME_H_XX
315 84 93 PSPER_XX PER_DT_FRA_H_XX
316 84 94 PSPER_XX PRIORWORKE_H_XX
317 84 95 PSPER_XX PRIORWORKS_H_XX
318 84 96 PSPER_XX PYEBANKACT_H_XX
319 84 97 PSPER_XX PY_BNK_TBL_H_XX
320 84 98 PSPER_XX STAT_TAX_DATA_H
321 84 99 PSPER_XX TAX_DISTRIB_H
322 84 100 PSPER_XX TLEMPLDATA_H_XX
323 84 101 PSPER_XX TRNX0004WR_H_XX
324 84 102 PSPER_XX TRNX0004_H_XX
325 84 103 PSPER_XX VISAPMTDAT_H_XX
326 84 104 PSPER_XX VISAPMTSUP_H_XX
327 85 0 PSPSS_XX PERSSRCHWL_H_XX
328 86 0 PSPUR_XX PURGEDATA_H_XX
329 87 0 TEBUR_XX TEBURDENX_H_XX
330 88 0 TLAPP_XX TL_APP_LA_H_XX
331 89 0 TLAPR_XX TL_APP_XRF_H_XX
332 90 0 TLATC_XX TLTCATTACH_H_XX
333 91 0 TLAUD_XX AUDITTLRTS_H_XX
334 92 0 TLBIR_XX TL_BIR_EID_H_XX
335 93 0 TLEID_XX EID_FILETL_H_XX
336 94 0 TLEMP_XX TL_EMPLAUD_H_XX
337 95 0 TLEOA_XX EOAWSTPINST_HXX
338 95 1 TLEOA_XX EOAW_COMNTS_HXX
339 95 2 TLEOA_XX EOAW_HISCOM_HXX
